SOC_Code,Occupation,OCC,Census_Occupation_Title,Group,Group_Name,OCC2010,OCC2010_Occupation_Title
19-3032.00,Industrial-Organizational Psychologists,1825,Other psychologists,19,"Life, Physical, and Social Science Occupations",1820,Psychologists
19-3033.00,Clinical and Counseling Psychologists,1821,Clinical and counseling psychologists,19,"Life, Physical, and Social Science Occupations",1820,Psychologists
19-3034.00,School Psychologists,1822,School psychologists,19,"Life, Physical, and Social Science Occupations",1820,Psychologists
19-3039.02,Neuropsychologists,1825,Other psychologists,19,"Life, Physical, and Social Science Occupations",1820,Psychologists
19-3039.03,Clinical Neuropsychologists,1825,Other psychologists,19,"Life, Physical, and Social Science Occupations",1820,Psychologists
19-3041.00,Sociologists,1830,Sociologists,19,"Life, Physical, and Social Science Occupations",1830,Sociologists
19-3051.00,Urban and Regional Planners,1840,Urban and regional planners,19,"Life, Physical, and Social Science Occupations",1840,Urban and Regional Planners
19-3091.00,Anthropologists and Archeologists,1860,Miscellaneous social scientists and related workers,19,"Life, Physical, and Social Science Occupations",1860,Miscellaneous Social Scientists and Related Workers
19-3092.00,Geographers,1860,Miscellaneous social scientists and related workers,19,"Life, Physical, and Social Science Occupations",1860,Miscellaneous Social Scientists and Related Workers
19-3093.00,Historians,1860,Miscellaneous social scientists and related workers,19,"Life, Physical, and Social Science Occupations",1860,Miscellaneous Social Scientists and Related Workers
19-3094.00,Political Scientists,1860,Miscellaneous social scientists and related workers,19,"Life, Physical, and Social Science Occupations",1860,Miscellaneous Social Scientists and Related Workers
19-3099.01,Transportation Planners,1840,Urban and regional planners,19,"Life, Physical, and Social Science Occupations",1840,Urban and Regional Planners
19-4012.00,Agricultural Technicians,1900,Agricultural and food science technicians,19,"Life, Physical, and Social Science Occupations",1900,Agricultural and Food Science Technicians
19-4012.01,Precision Agriculture Technicians,1900,Agricultural and food science technicians,19,"Life, Physical, and Social Science Occupations",1900,Agricultural and Food Science Technicians
19-4013.00,Food Science Technicians,1910,Biological technicians,19,"Life, Physical, and Social Science Occupations",1910,Biological Technicians
19-4021.00,Biological Technicians,1910,Biological technicians,19,"Life, Physical, and Social Science Occupations",1910,Biological Technicians
19-4031.00,Chemical Technicians,1920,Chemical technicians,19,"Life, Physical, and Social Science Occupations",1920,Chemical Technicians
19-4042.00,"Environmental Science and Protection Technicians, Including Health",1935,Environmental science and geoscience technicians,19,"Life, Physical, and Social Science Occupations",1930,Geological and Petroleum Technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",1935,Environmental science and geoscience technicians,19,"Life, Physical, and Social Science Occupations",1930,Geological and Petroleum Technicians
19-4051.00,Nuclear Technicians,1940,Nuclear technicians,19,"Life, Physical, and Social Science Occupations",1940,Nuclear Technicians
19-4051.02,Nuclear Monitoring Technicians,1940,Nuclear technicians,19,"Life, Physical, and Social Science Occupations",1940,Nuclear Technicians
19-4061.00,Social Science Research Assistants,1950,Social science research assistants,19,"Life, Physical, and Social Science Occupations",1950,Social Science Research Assistants
19-4071.00,Forest and Conservation Technicians,1970,"Other life, physical, and social science technicians",19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
19-4092.00,Forensic Science Technicians,1970,"Other life, physical, and social science technicians",19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
19-4099.01,Quality Control Analysts,1970,"Other life, physical, and social science technicians",19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
19-4099.03,Remote Sensing Technicians,1970,"Other life, physical, and social science technicians",19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
19-5011.00,Occupational Health and Safety Specialists,1980,Occupational health and safety specialists and technicians,19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
19-5012.00,Occupational Health and Safety Technicians,1980,Occupational health and safety specialists and technicians,19,"Life, Physical, and Social Science Occupations",1965,"Miscellaneous Life, Physical, and Social Science Technicians"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2001,Substance abuse and behavioral disorder counselors,21,Community and Social Service Occupations,2000,Counselors
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2002,"Educational, guidance, and career counselors and advisors",21,Community and Social Service Occupations,2000,Counselors
21-1013.00,Marriage and Family Therapists,2003,Marriage and family therapists,21,Community and Social Service Occupations,2000,Counselors
21-1014.00,Mental Health Counselors,2006,"Counselors, all other",21,Community and Social Service Occupations,2000,Counselors
21-1015.00,Rehabilitation Counselors,2005,Rehabilitation counselors,21,Community and Social Service Occupations,2000,Counselors
21-1021.00,"Child, Family, and School Social Workers",2011,"Child, family, and school social workers",21,Community and Social Service Occupations,2010,Social Workers
21-1022.00,Healthcare Social Workers,2012,Healthcare social workers,21,Community and Social Service Occupations,2010,Social Workers
21-1023.00,Mental Health and Substance Abuse Social Workers,2013,Mental health and substance abuse social workers,21,Community and Social Service Occupations,2010,Social Workers
21-1091.00,Health Education Specialists,2025,Other community and social service specialists,21,Community and Social Service Occupations,2025,"Miscellaneous Community and Social Service Specialists, including health educators and community health workers"
21-1092.00,Probation Officers and Correctional Treatment Specialists,2015,Probation officers and correctional treatment specialists,21,Community and Social Service Occupations,2015,Probation officers and correctional treatment specialists
21-1093.00,Social and Human Service Assistants,2016,Social and human service assistants,21,Community and Social Service Occupations,2016,Social and human service assistants
21-1094.00,Community Health Workers,2025,Other community and social service specialists,21,Community and Social Service Occupations,2025,"Miscellaneous Community and Social Service Specialists, including health educators and community health workers"
21-2011.00,Clergy,2040,Clergy,21,Community and Social Service Occupations,2040,Clergy
21-2021.00,"Directors, Religious Activities and Education",2050,"Directors, religious activities and education",21,Community and Social Service Occupations,2050,"Directors, Religious Activities and Education"
23-1011.00,Lawyers,2100,Lawyers,23,Legal Occupations,2100,Lawyers
23-1012.00,Judicial Law Clerks,2105,Judicial law clerks,23,Legal Occupations,2105,Judicial Law Clerks
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2110,"Judges, magistrates, and other judicial workers",23,Legal Occupations,2110,"Judges, Magistrates, and Other Judicial Workers"
23-1022.00,"Arbitrators, Mediators, and Conciliators",2110,"Judges, magistrates, and other judicial workers",23,Legal Occupations,2110,"Judges, Magistrates, and Other Judicial Workers"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",2110,"Judges, magistrates, and other judicial workers",23,Legal Occupations,2110,"Judges, Magistrates, and Other Judicial Workers"
23-2011.00,Paralegals and Legal Assistants,2145,Paralegals and legal assistants,23,Legal Occupations,2145,Paralegals and Legal Assistants
23-2093.00,"Title Examiners, Abstractors, and Searchers",2170,"Title examiners, abstractors, and searchers",23,Legal Occupations,2160,Miscellaneous Legal Support Workers
25-1011.00,"Business Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1021.00,"Computer Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1022.00,"Mathematical Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1031.00,"Architecture Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1032.00,"Engineering Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1042.00,"Biological Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1052.00,"Chemistry Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1053.00,"Environmental Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1054.00,"Physics Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1063.00,"Economics Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1064.00,"Geography Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1065.00,"Political Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1066.00,"Psychology Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1067.00,"Sociology Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1071.00,"Health Specialties Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1081.00,"Education Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1082.00,"Library Science Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1112.00,"Law Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1113.00,"Social Work Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1122.00,"Communications Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1123.00,"English Language and Literature Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1125.00,"History Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-1194.00,"Career/Technical Education Teachers, Postsecondary",2205,Postsecondary teachers,25,Educational Instruction and Library Occupations,2200,Postsecondary Teachers
25-2011.00,"Preschool Teachers, Except Special Education",2300,Preschool and kindergarten teachers,25,Educational Instruction and Library Occupations,2300,Preschool and Kindergarten Teachers
25-2012.00,"Kindergarten Teachers, Except Special Education",2300,Preschool and kindergarten teachers,25,Educational Instruction and Library Occupations,2300,Preschool and Kindergarten Teachers
25-2021.00,"Elementary School Teachers, Except Special Education",2310,Elementary and middle school teachers,25,Educational Instruction and Library Occupations,2310,Elementary and Middle School Teachers
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",2310,Elementary and middle school teachers,25,Educational Instruction and Library Occupations,2310,Elementary and Middle School Teachers
25-2023.00,"Career/Technical Education Teachers, Middle School",2310,Elementary and middle school teachers,25,Educational Instruction and Library Occupations,2310,Elementary and Middle School Teachers
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",2320,Secondary school teachers,25,Educational Instruction and Library Occupations,2320,Secondary School Teachers
25-2032.00,"Career/Technical Education Teachers, Secondary School",2320,Secondary school teachers,25,Educational Instruction and Library Occupations,2320,Secondary School Teachers
25-2051.00,"Special Education Teachers, Preschool",2330,Special education teachers,25,Educational Instruction and Library Occupations,2330,Special Education Teachers
25-2056.00,"Special Education Teachers, Elementary School",2330,Special education teachers,25,Educational Instruction and Library Occupations,2330,Special Education Teachers
25-2057.00,"Special Education Teachers, Middle School",2330,Special education teachers,25,Educational Instruction and Library Occupations,2330,Special Education Teachers
25-2058.00,"Special Education Teachers, Secondary School",2330,Special education teachers,25,Educational Instruction and Library Occupations,2330,Special Education Teachers
25-2059.01,Adapted Physical Education Specialists,2360,Other teachers and instructors,25,Educational Instruction and Library Occupations,2340,Other Teachers and Instructors
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2360,Other teachers and instructors,25,Educational Instruction and Library Occupations,2340,Other Teachers and Instructors
25-3021.00,Self-Enrichment Teachers,2360,Other teachers and instructors,25,Educational Instruction and Library Occupations,2340,Other Teachers and Instructors
25-3031.00,"Substitute Teachers, Short-Term",2360,Other teachers and instructors,25,Educational Instruction and Library Occupations,2340,Other Teachers and Instructors
25-3041.00,Tutors,2360,Other teachers and instructors,25,Educational Instruction and Library Occupations,2340,Other Teachers and Instructors
25-4011.00,Archivists,2400,"Archivists, curators, and museum technicians",25,Educational Instruction and Library Occupations,2400,"Archivists, Curators, and Museum Technicians"
25-4012.00,Curators,2400,"Archivists, curators, and museum technicians",25,Educational Instruction and Library Occupations,2400,"Archivists, Curators, and Museum Technicians"
25-4013.00,Museum Technicians and Conservators,2400,"Archivists, curators, and museum technicians",25,Educational Instruction and Library Occupations,2400,"Archivists, Curators, and Museum Technicians"
25-4022.00,Librarians and Media Collections Specialists,2435,Librarians and media collections specialists,25,Educational Instruction and Library Occupations,2430,Librarians
25-4031.00,Library Technicians,2440,Library technicians,25,Educational Instruction and Library Occupations,2440,Library Technicians
25-9021.00,Farm and Home Management Educators,2555,Other educational instruction and library workers,25,Educational Instruction and Library Occupations,2550,"Other Education, Training, and Library Workers"
25-9031.00,Instructional Coordinators,2555,Other educational instruction and library workers,25,Educational Instruction and Library Occupations,2550,"Other Education, Training, and Library Workers"
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2545,Teaching assistants,25,Educational Instruction and Library Occupations,2540,Teacher Assistants
25-9043.00,"Teaching Assistants, Special Education",2545,Teaching assistants,25,Educational Instruction and Library Occupations,2540,Teacher Assistants
25-9044.00,"Teaching Assistants, Postsecondary",2545,Teaching assistants,25,Educational Instruction and Library Occupations,2540,Teacher Assistants
27-1011.00,Art Directors,2600,Artists and related workers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2600,Artists and Related Workers
27-1012.00,Craft Artists,2600,Artists and related workers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2600,Artists and Related Workers
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2600,Artists and related workers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2600,Artists and Related Workers
27-1014.00,Special Effects Artists and Animators,2600,Artists and related workers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2600,Artists and Related Workers
27-1021.00,Commercial and Industrial Designers,2631,Commercial and industrial designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1022.00,Fashion Designers,2632,Fashion designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1023.00,Floral Designers,2633,Floral designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1024.00,Graphic Designers,2634,Graphic designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1025.00,Interior Designers,2635,Interior designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1026.00,Merchandise Displayers and Window Trimmers,2636,Merchandise displayers and window trimmers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-1027.00,Set and Exhibit Designers,2640,Other designers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
27-2011.00,Actors,2700,Actors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2700,Actors
27-2012.00,Producers and Directors,2710,Producers and directors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2710,Producers and Directors
27-2012.03,Media Programming Directors,2710,Producers and directors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2710,Producers and Directors
27-2012.04,Talent Directors,2710,Producers and directors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2710,Producers and Directors
27-2012.05,Media Technical Directors/Managers,2710,Producers and directors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2710,Producers and Directors
27-2021.00,Athletes and Sports Competitors,2721,Athletes and sports competitors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2720,"Athletes, Coaches, Umpires, and Related Workers"
27-2022.00,Coaches and Scouts,2722,Coaches and scouts,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2720,"Athletes, Coaches, Umpires, and Related Workers"
27-2023.00,"Umpires, Referees, and Other Sports Officials",2723,"Umpires, referees, and other sports officials",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2720,"Athletes, Coaches, Umpires, and Related Workers"
27-2031.00,Dancers,2740,Dancers and choreographers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2740,Dancers and Choreographers
27-2032.00,Choreographers,2740,Dancers and choreographers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2740,Dancers and Choreographers
27-2041.00,Music Directors and Composers,2751,Music directors and composers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2750,"Musicians, Singers, and Related Workers"
27-2042.00,Musicians and Singers,2752,Musicians and singers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2750,"Musicians, Singers, and Related Workers"
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,2805,Broadcast announcers and radio disc jockeys,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2800,Announcers
27-3023.00,"News Analysts, Reporters, and Journalists",2810,"News analysts, reporters, and journalists",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2810,"News Analysts, Reporters and Correspondents"
27-3031.00,Public Relations Specialists,2825,Public relations specialists,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2825,Public Relations Specialists
27-3041.00,Editors,2830,Editors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2830,Editors
27-3042.00,Technical Writers,2840,Technical writers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2840,Technical Writers
27-3043.00,Writers and Authors,2850,Writers and authors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2850,Writers and Authors
27-3043.05,"Poets, Lyricists and Creative Writers",2850,Writers and authors,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2850,Writers and Authors
27-3091.00,Interpreters and Translators,2865,"Media and communication workers, all other",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2860,Miscellaneous Media and Communication Workers
27-3092.00,Court Reporters and Simultaneous Captioners,2862,Court reporters and simultaneous captioners,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2860,Miscellaneous Media and Communication Workers
27-4011.00,Audio and Video Technicians,2905,"Broadcast, sound, and lighting technicians",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2900,Broadcast and Sound Engineering Technicians and Radio Operators
27-4012.00,Broadcast Technicians,2905,"Broadcast, sound, and lighting technicians",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2900,Broadcast and Sound Engineering Technicians and Radio Operators
27-4014.00,Sound Engineering Technicians,2905,"Broadcast, sound, and lighting technicians",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2900,Broadcast and Sound Engineering Technicians and Radio Operators
27-4021.00,Photographers,2910,Photographers,27,"Arts, Design, Entertainment, Sports, and Media Occupations",2910,Photographers
27-4031.00,"Camera Operators, Television, Video, and Film",2920,"Television, video, and film camera operators and editors",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2920,"Television, Video, and Motion Picture Camera Operators and Editors"
27-4032.00,Film and Video Editors,2920,"Television, video, and film camera operators and editors",27,"Arts, Design, Entertainment, Sports, and Media Occupations",2920,"Television, Video, and Motion Picture Camera Operators and Editors"
29-1011.00,Chiropractors,3000,Chiropractors,29,Healthcare Practitioners and Technical Occupations,3000,Chiropractors
29-1021.00,"Dentists, General",3010,Dentists,29,Healthcare Practitioners and Technical Occupations,3010,Dentists
29-1022.00,Oral and Maxillofacial Surgeons,3010,Dentists,29,Healthcare Practitioners and Technical Occupations,3010,Dentists
29-1023.00,Orthodontists,3010,Dentists,29,Healthcare Practitioners and Technical Occupations,3010,Dentists
29-1024.00,Prosthodontists,3010,Dentists,29,Healthcare Practitioners and Technical Occupations,3010,Dentists
29-1031.00,Dietitians and Nutritionists,3030,Dietitians and nutritionists,29,Healthcare Practitioners and Technical Occupations,3030,Dietitians and Nutritionists
29-1041.00,Optometrists,3040,Optometrists,29,Healthcare Practitioners and Technical Occupations,3040,Optometrists
29-1051.00,Pharmacists,3050,Pharmacists,29,Healthcare Practitioners and Technical Occupations,3050,Pharmacists
29-1071.00,Physician Assistants,3401,Emergency medical technicians,29,Healthcare Practitioners and Technical Occupations,3110,Physician Assistants
29-1071.01,Anesthesiologist Assistants,3401,Emergency medical technicians,29,Healthcare Practitioners and Technical Occupations,3400,Emergency Medical Technicians and Paramedics
29-1081.00,Podiatrists,3120,Podiatrists,29,Healthcare Practitioners and Technical Occupations,3120,Podiatrists
29-1122.00,Occupational Therapists,3150,Occupational therapists,29,Healthcare Practitioners and Technical Occupations,3150,Occupational Therapists
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3150,Occupational therapists,29,Healthcare Practitioners and Technical Occupations,3150,Occupational Therapists
29-1123.00,Physical Therapists,3160,Physical therapists,29,Healthcare Practitioners and Technical Occupations,3160,Physical Therapists
29-1124.00,Radiation Therapists,3200,Radiation therapists,29,Healthcare Practitioners and Technical Occupations,3200,Radiation Therapists
29-1125.00,Recreational Therapists,3210,Recreational therapists,29,Healthcare Practitioners and Technical Occupations,3210,Recreational Therapists
29-1126.00,Respiratory Therapists,3220,Respiratory therapists,29,Healthcare Practitioners and Technical Occupations,3220,Respiratory Therapists
29-1127.00,Speech-Language Pathologists,3230,Speech-language pathologists,29,Healthcare Practitioners and Technical Occupations,3230,Speech-Language Pathologists
29-1128.00,Exercise Physiologists,3235,Exercise physiologists,29,Healthcare Practitioners and Technical Occupations,3235,Exercise Physiologists
29-1129.01,Art Therapists,3245,"Therapists, all other",29,Healthcare Practitioners and Technical Occupations,3245,"Therapists, All Other"
29-1129.02,Music Therapists,3245,"Therapists, all other",29,Healthcare Practitioners and Technical Occupations,3245,"Therapists, All Other"
29-1131.00,Veterinarians,3250,Veterinarians,29,Healthcare Practitioners and Technical Occupations,3250,Veterinarians
29-1141.00,Registered Nurses,3255,Registered nurses,29,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
29-1141.01,Acute Care Nurses,3255,Registered nurses,29,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
29-1141.02,Advanced Practice Psychiatric Nurses,3255,Registered nurses,29,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
29-1141.03,Critical Care Nurses,3255,Registered nurses,29,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
29-1141.04,Clinical Nurse Specialists,3255,Registered nurses,29,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
29-1151.00,Nurse Anesthetists,3256,Nurse anesthetists,29,Healthcare Practitioners and Technical Occupations,3256,Nurse Anesthetists
29-1161.00,Nurse Midwives,3257,Nurse midwives,29,Healthcare Practitioners and Technical Occupations,3257,Nurse Midwives
29-1171.00,Nurse Practitioners,3258,Nurse practitioners,29,Healthcare Practitioners and Technical Occupations,3258,Nurse Practitioners
29-1181.00,Audiologists,3140,Audiologists,29,Healthcare Practitioners and Technical Occupations,3140,Audiologists
29-1211.00,Anesthesiologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1213.00,Dermatologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1214.00,Emergency Medicine Physicians,3065,Emergency medicine physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1215.00,Family Medicine Physicians,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1216.00,General Internal Medicine Physicians,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1217.00,Neurologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1218.00,Obstetricians and Gynecologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1221.00,"Pediatricians, General",3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1222.00,"Physicians, Pathologists",3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1223.00,Psychiatrists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1224.00,Radiologists,3070,Radiologists,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.01,Allergists and Immunologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.02,Hospitalists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.03,Urologists,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.04,Physical Medicine and Rehabilitation Physicians,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.05,Preventive Medicine Physicians,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1229.06,Sports Medicine Physicians,3090,Other physicians,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1241.00,"Ophthalmologists, Except Pediatric",3100,Surgeons,29,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
29-1291.00,Acupuncturists,3261,Acupuncturists,29,Healthcare Practitioners and Technical Occupations,3260,"Health Diagnosing and Treating Practitioners, All Other"
29-1292.00,Dental Hygienists,3310,Dental hygienists,29,Healthcare Practitioners and Technical Occupations,3310,Dental Hygienists
29-1299.01,Naturopathic Physicians,3270,"Healthcare diagnosing or treating practitioners, all other",29,Healthcare Practitioners and Technical Occupations,3260,"Health Diagnosing and Treating Practitioners, All Other"
29-1299.02,Orthoptists,3270,"Healthcare diagnosing or treating practitioners, all other",29,Healthcare Practitioners and Technical Occupations,3260,"Health Diagnosing and Treating Practitioners, All Other"
29-2011.00,Medical and Clinical Laboratory Technologists,3300,Clinical laboratory technologists and technicians,29,Healthcare Practitioners and Technical Occupations,3300,Clinical Laboratory Technologists and Technicians
29-2011.01,Cytogenetic Technologists,3300,Clinical laboratory technologists and technicians,29,Healthcare Practitioners and Technical Occupations,3300,Clinical Laboratory Technologists and Technicians
